trip_headsign,Departure Date,Departure Time,Origin,Arrival Time,Destination,Stops
2090,2024-08-10 00:00:00,13:47:00,Strasbourg,19:42:00,Bordeaux Saint-Jean,"[['Strasbourg', 0, 0, '13:47:00', 0], ['Lorraine TGV', '14:22:00', 0, '14:25:00', 0], ['Meuse TGV', '14:44:00', 0, '14:51:00', 0], ['Champagne-Ardenne TGV', '15:15:00', 0, '15:18:00', 0], ['Aéroport Charles de Gaulle 2 TGV', '15:50:00', 0, '16:05:00', 0], ['Marne-la-Vallée Chessy', '16:14:00', 0, '16:23:00', 0], ['Massy TGV', '16:51:00', 0, '16:57:00', 0], ['Saint-Pierre-des-Corps', '17:47:00', 0, '17:51:00', 0], ['Poitiers', '18:23:00', 0, '18:26:00', 0], ['Angoulême', '19:03:00', 0, '19:06:00', 0], ['Bordeaux Saint-Jean', '19:42:00', 0, 0, 0]]"
9752,2024-08-10 00:00:00,13:47:00,StopPoint:OCELyria-87751008,18:50:00,Lausanne,"[['StopPoint:OCELyria-87751008', 0, 0, '13:47:00', 0], ['StopPoint:OCELyria-87319012', '13:58:00', 0, '14:01:00', 0], ['StopPoint:OCELyria-87318964', '14:20:00', 0, '14:23:00', 0], ['StopPoint:OCELyria-87723197', '15:30:00', 0, '15:40:00', 0], ['StopPoint:OCELyria-87745000', '16:58:00', 0, '17:11:00', 0], ['Geneve', '17:45:00', 0, '17:52:00', 0], ['Lausanne', '18:50:00', 0, 0, 0]]"
7571,2024-08-10 00:00:00,13:51:00,Paris Gare du Nord,16:13:00,Boulogne sur Mer,"[['Paris Gare du Nord', 0, 0, '13:51:00', 0], ['Arras', '14:40:00', 0, '14:48:00', 0], ['Lille Europe', '15:07:00', 0, '15:15:00', 0], ['Calais - Fréthun', '15:43:00', 0, '15:54:00', 0], ['Boulogne sur Mer', '16:13:00', 0, 0, 0]]"
6406,2024-08-10 00:00:00,14:34:00,Saint-Michel - Valloire,19:30:00,Paris Gare de Lyon Hall 1 - 2,"[['Saint-Michel - Valloire', 0, 0, '14:34:00', 0], ['Saint-Jean-de-Maurienne Arvan', '14:48:00', 0, '14:53:00', 0], ['Saint-Avre - La Chambre', '15:00:00', 0, '15:03:00', 0], ['Chambéry - Challes-les-Eaux', '15:47:00', 0, '15:57:00', 0], ['Paris Gare de Lyon Hall 1 - 2', '19:30:00', 0, 0, 0]]"
9222,2024-08-10 00:00:00,14:34:00,Basel SBB,17:38:00,StopPoint:OCELyria-87686006,"[['Basel SBB', 0, 0, '14:34:00', 0], ['StopPoint:OCELyria-87182063', '14:54:00', 0, '14:57:00', 0], ['StopPoint:OCELyria-87713040', '15:59:00', 0, '16:03:00', 0], ['StopPoint:OCELyria-87686006', '17:38:00', 0, 0, 0]]"
7043,2024-08-10 00:00:00,14:45:00,Paris Gare du Nord,15:48:00,Lille Flandres,"[['Paris Gare du Nord', 0, 0, '14:45:00', 0], ['Lille Flandres', '15:48:00', 0, 0, 0]]"
2430,2024-08-10 00:00:00,14:49:00,Strasbourg,16:35:00,Paris Est,"[['Strasbourg', 0, 0, '14:49:00', 0], ['Paris Est', '16:35:00', 0, 0, 0]]"
9864,2024-08-10 00:00:00,14:51:00,Montpellier Saint-Roch,20:43:00,Bruxelles Midi,"[['Montpellier Saint-Roch', 0, 0, '14:51:00', 0], ['Nîmes Centre', '15:16:00', 0, '15:19:00', 0], ['Valence TGV Rhône-Alpes Sud', '16:09:00', 0, '16:15:00', 0], ['Lyon Part Dieu', '16:49:00', 0, '17:00:00', 0], ['Marne-la-Vallée Chessy', '18:47:00', 0, '18:51:00', 0], ['Aéroport Charles de Gaulle 2 TGV', '19:01:00', 0, '19:07:00', 0], ['Lille Europe', '19:58:00', 0, '20:09:00', 0], ['Bruxelles Midi', '20:43:00', 0, 0, 0]]"
9505,2024-08-10 00:00:00,14:55:00,StopPoint:OCEICE-87113001,19:44:00,Francfort sur le Main,"[['StopPoint:OCEICE-87113001', 0, 0, '14:55:00', 0], ['Sarrebruck', '16:56:00', 0, '16:58:00', 0], ['Kaiserslautern Hbf', '17:37:00', 0, '17:39:00', 0], ['Mannheim Hbf', '18:22:00', 0, '18:26:00', 0], ['Francfort sur le Main', '19:44:00', 0, 0, 0]]"
9832,2024-08-10 00:00:00,15:03:00,Bruxelles Midi,19:50:00,Nantes,"[['Bruxelles Midi', 0, 0, '15:03:00', 0], ['Lille Europe', '15:38:00', 0, '15:52:00', 0], ['Aéroport Charles de Gaulle 2 TGV', '16:44:00', 0, '16:49:00', 0], ['Marne-la-Vallée Chessy', '16:58:00', 0, '17:02:00', 0], ['Massy TGV', '17:33:00', 0, '17:41:00', 0], ['Le Mans', '18:29:00', 0, '18:32:00', 0], ['Angers Saint-Laud', '19:10:00', 0, '19:13:00', 0], ['Nantes', '19:50:00', 0, 0, 0]]"
