trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN12254F3217730:2024-08-10T00:26:19Z,12:49:00,12:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12255F3094736:2024-08-10T00:26:19Z,11:11:00,11:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12255F3094736:2024-08-10T00:26:19Z,13:14:00,13:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12256F3300464:2024-08-10T00:26:19Z,20:50:00,20:50:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12256F3300464:2024-08-10T00:26:19Z,22:54:00,22:54:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12258F3133673:2024-08-10T00:26:19Z,13:46:00,13:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12258F3133673:2024-08-10T00:26:19Z,15:49:00,15:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12259F3133986:2024-08-10T00:26:19Z,12:11:00,12:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12259F3133986:2024-08-10T00:26:19Z,14:14:00,14:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12259F3134077:2024-08-10T00:26:19Z,12:11:00,12:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12259F3134077:2024-08-10T00:26:19Z,14:14:00,14:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12260F1646835:2024-08-10T00:26:19Z,14:46:00,14:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12260F1646835:2024-08-10T00:26:19Z,15:20:00,15:23:00,StopPoint:OCETGV INOUI-87583005,1,,0,0,
OCESN12260F1646835:2024-08-10T00:26:19Z,17:09:00,17:09:00,StopPoint:OCETGV INOUI-87391003,2,,1,0,
OCESN12260F2586039:2024-08-10T00:26:19Z,14:46:00,14:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12260F2586039:2024-08-10T00:26:19Z,15:20:00,15:23:00,StopPoint:OCETGV INOUI-87583005,1,,0,0,
OCESN12260F2586039:2024-08-10T00:26:19Z,17:09:00,17:09:00,StopPoint:OCETGV INOUI-87391003,2,,1,0,
OCESN12260F2665902:2024-08-10T00:26:19Z,14:46:00,14:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12260F2665902:2024-08-10T00:26:19Z,15:20:00,15:23:00,StopPoint:OCETGV INOUI-87583005,1,,0,0,
OCESN12260F2665902:2024-08-10T00:26:19Z,17:09:00,17:09:00,StopPoint:OCETGV INOUI-87391003,2,,1,0,
OCESN12260F3076106:2024-08-10T00:26:19Z,14:46:00,14:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12260F3076106:2024-08-10T00:26:19Z,15:20:00,15:23:00,StopPoint:OCETGV INOUI-87583005,1,,0,0,
OCESN12260F3076106:2024-08-10T00:26:19Z,17:10:00,17:10:00,StopPoint:OCETGV INOUI-87391003,2,,1,0,
OCESN12260F3300098:2024-08-10T00:26:19Z,14:46:00,14:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
