trip_headsign,Departure Date,Departure Time,Origin,Arrival Time,Destination,Stops
2061,2024-09-17,17:24:00,Paris Est,19:11:00,Strasbourg,"[['Paris Est', 0, 0, '17:24:00', 0], ['Strasbourg', '19:11:00', 0, 0, 0]]"
9591,2024-09-17,17:24:00,Paris Est,20:26:00,Freiburg (Breisgau) Hbf,"[['Paris Est', 0, 0, '17:24:00', 0], ['Strasbourg', '19:11:00', 0, '19:18:00', 0], ['Offenburg', '19:39:00', 0, '19:43:00', 0], ['Lahr (Schwarzw)', '19:54:00', 0, '19:55:00', 0], ['Ringsheim', '20:02:00', 0, '20:03:00', 0], ['Freiburg (Breisgau) Hbf', '20:26:00', 0, 0, 0]]"
6663,2024-09-17,17:26:00,Paris Gare de Lyon Hall 1 - 2,19:36:00,Lyon Perrache,"[['Paris Gare de Lyon Hall 1 - 2', 0, 0, '17:26:00', 0], ['Lyon Part Dieu', '19:22:00', 0, '19:28:00', 0], ['Lyon Perrache', '19:36:00', 0, 0, 0]]"
8365,2024-09-17,17:27:00,Paris Montparnasse Hall 1 - 2,20:00:00,La Rochelle,"[['Paris Montparnasse Hall 1 - 2', 0, 0, '17:27:00', 0], ['Niort', '19:20:00', 0, '19:23:00', 0], ['La Rochelle', '20:00:00', 0, 0, 0]]"
2680,2024-09-17,17:28:00,Metz,19:01:00,Paris Est,"[['Metz', 0, 0, '17:28:00', 0], ['Champagne-Ardenne TGV', '18:16:00', 0, '18:19:00', 0], ['Paris Est', '19:01:00', 0, 0, 0]]"
2747,2024-09-17,17:28:00,Paris Est,18:14:00,Reims,"[['Paris Est', 0, 0, '17:28:00', 0], ['Reims', '18:14:00', 0, 0, 0]]"
5338,2024-09-17,17:30:00,Rennes,21:47:00,Lyon Perrache,"[['Rennes', 0, 0, '17:30:00', 0], ['Le Mans', '18:20:00', 0, '18:30:00', 0], ['Massy TGV', '19:18:00', 0, '19:26:00', 0], ['Lyon Part Dieu', '21:30:00', 0, '21:38:00', 0], ['Lyon Perrache', '21:47:00', 0, 0, 0]]"
8315,2024-09-17,17:31:00,Paris Montparnasse Hall 1 - 2,18:48:00,Tours,"[['Paris Montparnasse Hall 1 - 2', 0, 0, '17:31:00', 0], ['Vendôme - Villiers-sur-Loir', '18:13:00', 0, '18:16:00', 0], ['Saint-Pierre-des-Corps', '18:35:00', 0, '18:42:00', 0], ['Tours', '18:48:00', 0, 0, 0]]"
8355,2024-09-17,17:31:00,Paris Montparnasse Hall 1 - 2,19:11:00,Poitiers,"[['Paris Montparnasse Hall 1 - 2', 0, 0, '17:31:00', 0], ['Vendôme - Villiers-sur-Loir', '18:13:00', 0, '18:16:00', 0], ['Saint-Pierre-des-Corps', '18:35:00', 0, '18:39:00', 0], ['Poitiers', '19:11:00', 0, 0, 0]]"
7824,2024-09-17,17:32:00,Marseille Saint-Charles,20:53:00,Paris Gare de Lyon Hall 1 - 2,"[['Marseille Saint-Charles', 0, 0, '17:32:00', 0], ['Aix-en-Provence TGV', '17:47:00', 0, '17:50:00', 0], ['Avignon TGV', '18:09:00', 0, '18:12:00', 0], ['Paris Gare de Lyon Hall 1 - 2', '20:53:00', 0, 0, 0]]"
